subject,run,trial,audio_filename,is_naturalistic,num_words
1,2,10,nat_02086.wav,True,9
1,2,11,nat_00966.wav,True,10
1,2,12,nat_00040.wav,True,9
1,2,13,ctrl_00628.wav,False,8
1,2,14,nat_01139.wav,True,7
1,2,15,nat_01381.wav,True,6
1,2,16,ctrl_00740.wav,False,5
1,2,17,ctrl_00870.wav,False,6
1,2,18,ctrl_00437.wav,False,11
1,2,19,ctrl_01009.wav,False,8
1,2,20,nat_00483.wav,True,9
1,2,21,nat_00672.wav,True,8
1,2,22,nat_01643.wav,True,8
1,2,23,nat_00168.wav,True,10
1,2,24,nat_00485.wav,True,7
1,2,25,nat_01871.wav,True,8
1,2,26,nat_00471.wav,True,8
1,2,27,nat_00872.wav,True,7
1,2,28,nat_01301.wav,True,8
1,2,29,nat_00539.wav,True,10
1,2,30,nat_00602.wav,True,7
1,2,31,nat_01650.wav,True,9
1,2,32,ctrl_00529.wav,False,7
1,2,33,nat_01335.wav,True,9
1,2,34,nat_02056.wav,True,12
1,2,35,nat_01827.wav,True,9
1,2,36,nat_01626.wav,True,9
1,2,37,ctrl_00601.wav,False,6
1,2,38,nat_01033.wav,True,6
1,2,39,nat_00616.wav,True,11
1,2,40,nat_01338.wav,True,10
1,2,41,nat_00919.wav,True,9
1,2,42,nat_00843.wav,True,10
1,2,43,nat_00397.wav,True,10
1,2,44,ctrl_00435.wav,False,8
1,2,45,nat_01270.wav,True,8
1,2,46,nat_01904.wav,True,11
1,2,47,ctrl_00548.wav,False,6
1,2,48,nat_00060.wav,True,11
1,2,49,nat_01170.wav,True,8
1,2,50,nat_00033.wav,True,5
1,2,51,nat_01766.wav,True,11
1,2,52,ctrl_00570.wav,False,8
1,2,53,ctrl_00665.wav,False,9
1,2,54,nat_00510.wav,True,7
1,2,55,nat_00767.wav,True,10
1,2,56,nat_01157.wav,True,5
1,2,57,nat_00020.wav,True,10
1,2,58,ctrl_00597.wav,False,13
1,2,59,nat_01452.wav,True,10
1,2,60,nat_00008.wav,True,7
1,2,61,nat_00985.wav,True,8
1,2,62,ctrl_00937.wav,False,13
1,2,63,nat_00728.wav,True,9
1,2,64,nat_00332.wav,True,6
1,2,65,nat_00910.wav,True,11
1,2,66,nat_01761.wav,True,9
1,2,67,ctrl_00984.wav,False,7
1,2,68,ctrl_00974.wav,False,7
1,2,69,nat_01365.wav,True,6
1,2,70,nat_01466.wav,True,6
1,2,71,nat_00716.wav,True,8
1,2,72,ctrl_00932.wav,False,8
1,2,73,nat_00597.wav,True,10
1,2,74,ctrl_00835.wav,False,8
1,2,75,nat_01494.wav,True,9
1,2,76,nat_00453.wav,True,6
1,2,77,nat_00390.wav,True,5
1,2,78,nat_00055.wav,True,9
1,2,79,nat_00136.wav,True,11
1,2,80,ctrl_00715.wav,False,10
1,3,1,nat_01002.wav,True,11
1,3,2,nat_01428.wav,True,10
